category,description
politics,"Senators have spent the past week processing nearly two dozen amendments to the 2,700-page package, but so far none has substantially changed the framework of the public works package. Some senators are insisting on more amendments — including one on cryptocurrency and a longshot effort by defense hawks to add $50 billion for shipbuilding and other defense-related infrastructure."
politics,"For senators who have been slogging through debate — and months of give-and-take negotiations — the bill is a chance not only to send federal dollars to their states, but also to show the country that Congress can work together in a bipartisan way to solve problems."
politics,"Sen. Lisa Murkowski, R-Alaska, said the needs in her state were obvious — including money for water systems in remote villages without running taps for handwashing during the COVID-19 pandemic. But as one of the negotiators, she also wants to demonstrate that lawmakers can unite."
politics,"“I’m really worried that everybody believes that we’re as dysfunctional as we appear to be, and so to prove otherwise, it’s kind of important,” she said. “The Senate needs some demonstrated acts of bipartisanship.”"
politics,"Senators have found much to like in the bill, even though it does not fully satisfy liberals, who view it as too small, or conservatives, who find it too large. It would provide federal money for projects many states and cities could not afford on their own."
politics,"Sen. Joe Manchin, D-W.Va., said, “America has not seen this type of infrastructure investment in 30 years.”"
politics,"Trump weighed in Saturday with a statement criticizing Biden, senators of both parties and the bill itself, though it’s not clear whether Trump’s views hold sway over the lawmakers."
politics,"An analysis of the bill from the Congressional Budget Office drew concerns, particularly from Republicans. It concluded that the legislation would increase deficits by about $256 billion over the next decade."
politics,But the bill’s backers argued that the budget office was unable to take into account certain revenue streams — including from future economic growth. Additional analysis released Saturday by the budget office suggested infrastructure spending overall could boost productivity and lower the ultimate costs.
politics,Paying for the package has been a pressure point throughout the months of negotiations after Democrats objected to an increase in the gas tax paid at the pump and Republicans resisted a plan to bolster the IRS to go after tax scofflaws.
politics,"Unlike Biden’s bigger $3.5 trillion package, which would be paid for by higher tax rates for corporations and the wealthy, the bipartisan package is funded by repurposing other money, including untapped COVID-19 aid, and other spending cuts and revenue streams."
politics,The House is in recess and is expected to consider both Biden infrastructure packages when it returns in September.
politics,Associated Press writer Kevin Freking contributed to this report.
politics,You may not be very surprised to find out Barack Obama appears to have a lot of close family and friends. 
politics,"The former president’s 60th birthday party was set to proceed Saturday as a “significantly scaled back” version of the original plan given the ominous threat of the delta variant of the coronavirus, an Obama spokesperson said this week. But according to photos snapped on and above Martha’s Vineyard ― the posh New England island where the nation’s wealthiest go to be amongst their own ― “scaled back” is still looking pretty impressive. "
politics,"The newly minted sexagenarian will be feted inside a mammoth white tent nuzzled against his family’s $12 million vacation home, which sits on 30 acres of oceanfront property. Aerial shots taken Friday revealed grounds that were abuzz with caterers and party-planning staff ― although presumably fewer than the 200-plus originally expected to work the event. Sofas dotted the outdoor area in intimate clusters, while dozens of sand-colored chairs waited to be unstacked and ringed around tables."
politics,Obama himself was photographed on an island golf course Saturday morning.
politics,"On Wednesday ― his actual birthday ― former first lady Michelle Obama posted images of her husband to Instagram, writing, “Still turning my head after all these years.” "
politics,"The 44th president attracted some criticism when details of his massive party leaked this week amid the nationwide surge in COVID-19 cases. The U.S. is once again recording around 100,000 new cases on a daily basis, marking a return to levels not seen since the fall and winter. "
politics,"Still, spokesperson Hannah Hankins said Wednesday that the event would be downsized to “include only family and close friends.”"
politics,"Obama was not exactly throwing caution to the wind: He had hired a COVID-19 coordinator to verify that all attendees tested negative before the event, and had asked everybody to be fully vaccinated. The party is also largely outdoors."
politics,"The result was, apparently, some hurt feelings among former Obama administration staffers, who still noticed the likes of Chrissy Teigen and John Legend arriving on the island ahead of the main event. A “majority” of the former staffers had been uninvited, the Times said, noting that many “generally credit themselves with helping create the Obama legacy that has allowed the former president to settle in so comfortably with the A-list crowd.”"
politics,"It remains unclear what size the guest list has been whittled down to. The original plan was to welcome some 475 guests, according to Axios, but the Obama camp never confirmed that amount. At least eight aides, including Michelle Obama’s chief of staff, were tasked with making the unpleasant calls to uninvite people from the party, according to The New York Times. "
politics,"Paparazzi shots published by The Daily Mail also documented the arrivals of Dwayne Wade and Gabrielle Union, Steven Colbert and Don Cheadle. Beyoncé and Jay-Z were reportedly marked as attending, the Times reported Friday; tabloids said that they were already on the island."
politics,"Legend is expected to perform Saturday night, according to The New York Post. (Not Pearl Jam, as had been rumored.) "
politics,John Kerry ― Obama’s former secretary of state and the current administration’s special presidential envoy for climate ― was photographed arriving on Martha’s Vineyard by private jet. 
politics,"The White House previously said in a statement that President Joe Biden will not be in attendance, although he “looks forward to catching up with former President Obama soon and properly welcoming him into the over 60 club.” "
politics,"Larry David, David Letterman and Conan O’Brien were reportedly among those who were disinvited; Oprah Winfrey and Ava DuVernay bowed out on their own, according to the Times. "
politics,"With luck, the only thing guests will pick up this weekend will be the custom baseball caps Obama reportedly had made for the occasion that read, “44 at 60.”"
politics,"White House press secretary Jen Psaki ― an Obama administration alumni herself ― appeared to defend the former president’s birthday bash on Friday when asked whether Obama was setting a good example for the American people. Psaki said COVID-19 transmission in Martha’s Vineyard was considered “moderate,” meaning the area was not subject to the Centers for Disease Control and Prevention’s updated masking guidance, which targets counties with high or substantially high transmission. (The CDC now categorizes the island as having “high” transmission, a change that appears to have come Friday, according to local reports.)"
politics,"After a few unexpected pivots, Nina West is set to follow in the nimble footsteps of drag icons by taking on her dream role this fall. "
politics,"The “RuPaul’s Drag Race” veteran will star as Edna Turnblad in the national tour of the musical “Hairspray,” which opens Nov. 17 in San Diego, California, and will visit more than 60 U.S. cities. West will be joined by Niki Metcalf and Toneisha Harris as Tracy Turnblad and Motormouth Maybelle, respectively, with additional casting to be announced later. "
politics,"Based on John Waters’ 1988 film of the same name, “Hairspray” follows Tracy Turnblad, an energetic, fun-loving teen in 1960s Baltimore whose dream is to dance on the most popular variety show on TV. After landing a role, Tracy begins to campaign for the show to be desegregated so that she can share the spotlight with performers of color."
politics,"“This is the role I’ve always wanted,” said West, whose real name is Andrew Levitt. “Edna’s journey as a character is a journey I’ve been on ― not seeing how beautiful we are on the outside, not trusting we are worthy, being ashamed of ourselves. It’s a journey many of us go on, right?”"
politics,"Edna Turnblad, the protagonist’s mother, was played in the 1988 movie by drag icon Divine and in the original 2003 Broadway production of the musical by Harvey Fierstein. (The less said about John Travolta’s portrayal in the 2007 movie adaptation of the musical, the better.) "
politics,"West’s “Hairspray” journey dates back to 2019, when she received a phone call from Jerry Mitchell, who choreographed the original Broadway staging, to audition for the new production. She formally landed the role of Edna in March of last year, just one week before theaters across the U.S. closed to curb the spread of COVID-19. "
politics,"The experience of being cast in a dream role, only to have it ripped away indefinitely before rehearsals commenced, was “humbling,” West said. “As an artist, you’re like, ‘God, how do I prepare for this? What am I going to do next?’ Everyone was saying, ‘Pivot, pivot, pivot!’ So the pandemic, for me, has been a quick learning tool on how to regroup and how to constantly stay aware, awake and energized.” "
politics,"And to her credit, West has spent most of the past 16 months boosting her profile inmajor ways. Last year, she partnered with Dolly Parton for a clothing line called “Kindness is Queen” and, later, with actor Patricia Clarkson on a musical tribute to Kamala Harris, then the Democratic vice presidential nominee, before election night. In June, she hosted the livestreamed Disney+ concert “This Is Me: Pride Celebration Spectacular,” where she duetted with Kermit the Frog."
politics,The temporary restraining order Cardone granted will put Abbott’s decree on hold while the courts consider the case.
politics,"“The role allows me to bring Nina, a drag character I’ve been cultivating for 20 years,” she added. “It also allows me to be Andrew and celebrate that part of myself as an actor doing the work. I’ve really leaned into being very vulnerable with people and allowing myself to be pretty honest.” "
politics,"Collectively, West views those experiences her on-the-ground training for “Hairspray,” which she considers one of the best musicals ever written. "
politics,A federal judge temporarily blocked an executive order on Tuesday issued by Texas Gov. Greg Abbott (R) that sought to restrict the ground transportation of migrants.
politics,U.S. District Judge Kathleen Cardone agreed with the federal government — which sued Abbott over the order last week — that the executive order would cause “irreparable injury” to the United States and to people the U.S. is “charged with protecting.”
politics,"Abbott had claimed the order was needed to mitigate the spread of COVID-19. However, the Justice Department said in its lawsuit against Abbott that his order would only exacerbate the spread of the virus because a restriction on transportation would “result in immediate backups of unaccompanied children” at federal facilities, thereby increasing the risk of transmission."
politics,"Issued last Wednesday, Abbott’s order — which immigration rights advocates lambasted as “flagrantly illegal,” unconstitutional and xenophobic — prohibited nongovernment individuals and organizations from transporting migrants released from federal custody in Texas."
politics,"“The executive order will severely disrupt the Federal Government’s efforts to carry out its responsibilities under the federal immigration laws,” the Justice Department said in its court filing. "
politics,"Additionally, the Justice Department noted that contractors who are typically hired by the federal government to help transport sick migrants, conduct COVID-19 tests and provide safe spaces for quarantining would not be able to do their jobs under the order. "
politics,"Responding to Garland, Abbott said in a letter that his authority “to protect noncitizens directly conflicts with my authority, and duty, to protect citizens of Texas and the United States.”"
politics,Many critics thought there was something “Third Reich”-esque about them.
politics,U.S. Attorney General Merrick Garland said last week that Abbott’s order was both “dangerous and unlawful” and in violation of federal law “in numerous respects.”
politics,"Hamill, a longtime critic of the former president, agreed."
politics,“Star Wars” actor Mark Hamill joined in with the mockery of President Donald Trump’s proposed cards for supporters on Friday.
politics,"“We are at an impasse in our country,” she said. “People in our country are scared and unsure if it’s even safe to leave our homes. We’ve politicized getting a shot that will take care of people and allow them to be healthy. ... I think a show like ‘Hairspray’ is going to allow us to celebrate, reconnect and refocus.” "
politics,Trump’s Save America PAC this week sent out emails to the ex-president’s fans asking them to select their favorite of these four designs:
politics,The order also gave the Texas Department of Public Safety authority to stop and impound any private vehicle that officers have a “reasonable suspicion” is carrying migrants — a clause that activists said could encourage racial profiling.
politics,And he pointed out how to tell if merchandise from Trump was the real deal.
politics,"Mandates for the COVID-19 shots are popping up all over the country now, which means you may soon have to show proof of vaccination if you want to go to work, the gym or an indoor public event."
politics,"The requirements seem to be relatively popular. As many as two-thirds of Americans support them, if some recent polling is correct. But there are plenty of opponents out there. Among the loudest are some high-profile leaders in the Republican Party."
politics,"“It’s not an OFFICIAL Former Guy item unless it contains at least one misspelling and/or Third Reich imagery,” he tweeted."
politics,"“This is obviously OFFICAL,” Hamill added, referencing a typo on one of the cards."
politics,"Sen. Ted Cruz (Texas) says vaccine requirements are products of the left’s “authoritarian instincts.” Sen. Rand Paul (Ky.) describes the push for requirements as “vaccine fascism.” House Republican Conference Chair Elise Stefanik (N.Y.) responded to Biden’s announcement by tweeting, “No mandates for anyone,” and vowing that “Americans will stand for freedom” ― and then punctuating the line with an American flag emoji."
politics,"The requirements are a reaction to slowed vaccination rates that have left significant parts of the population without protection from the virus, just as the highly contagious delta variant is spreading. Among those supporting the new requirements is President Joe Biden, who has issued one for federal workers and encouraged both private and public employers to do the same."
politics,"“Florida is a free state, and we will empower our people,” DeSantis said in a fundraising letter this week. “We will not allow Joe Biden and his bureaucratic flunkies to come in and commandeer the rights and freedoms of Floridians.”"
politics,"Republicans at the state level are saying similar things and they are acting too, putting in place prohibitions on vaccine requirements in more than a dozen states. One of them is Florida, where Gov. Ron DeSantis has issued orders and signed legislation that bans vaccine requirements by private companies as well as local government agencies."
politics,"The virtual flag-waving, appeals to personal liberty, and warnings about “fascism” suggest there is something fundamentally un-American about vaccine mandates. But requirements to get inoculations have been around since the very first days of the republic, claiming broad support and withstanding legal challenges."
politics,What Liberals And Conservatives Say About Vaccine Mandates
politics,"This isn’t because officials or judges are ignoring freedom. It’s because they believe vaccination is a key to securing it. In fact, among those who support vaccine requirements today are some well-known conservative judges and libertarian scholars ― in other words, precisely the sort of people you would expect to protest government overreach most vociferously."
politics,"A basic justification for vaccine mandates is that your freedom doesn’t include the freedom to endanger the rest of your community. The principle is a bedrock of democratic philosophy and the American legal tradition, with courts applying it to a variety of contexts including public health."
politics,"“You can’t walk around assaulting people just because you feel like it’s an important part of your self-expression,” Nicholas Bagley, a University of Michigan law professor, said in an interview. “And you can’t dump pollutants into a town’s drinking water just because you’d rather not pay for cleanup. By the same token, we require kids to get vaccinated for all sorts of illnesses before they go to public school. Otherwise, their bodies could be used as vectors to harm others.”"
politics,"The author of that ruling, Frank Easterbrook, is a well-respected conservative first put on the bench by President Ronald Reagan. In the opinion, Easterbrook argued that the Indiana University requirement was actually less onerous than the old Massachusetts requirement, because it applied only to people who are choosing to enroll at the university."
politics,"The most important legal precedent on vaccines specifically is a 1905 case called Jacobson v. Massachusetts, in which the Supreme Court upheld a state law requiring smallpox vaccination for adults. Just this week, a panel from a federal appeals court cited Jacobson when it upheld, unanimously, a new COVID-19 vaccine requirement for students at Indiana University."
politics,"“People who do not want to be vaccinated may go elsewhere,” Easterbrook wrote."
politics,"That appears to be true for all of the vaccine mandates now in place or under discussion: They are not requirements per se, but rather conditions for some kind of voluntary activity. Although the consequences can still be harsh ― say, if it means giving up a job ― many of the mandates, including the one Biden introduced for federal workers, offer alternatives like undergoing frequent testing plus a promise to observe social distancing."
politics,That’s in addition to exceptions for people who can cite legitimate religious grounds or who can’t get shots for medical reasons.
politics,"“In the eyes of the law, nothing under discussion is actually a mandate, in the sense of a government command backed up by coercion,” Bagley said."
politics,What Some Libertarians Say About Vaccine Mandates
politics,"Bagley is generally thought of as a liberal, but it’s not hard to find conservatives and libertarians who take the same view."
politics,"“In my view, people have the right to harm themselves by making bad choices,” Brennan said. “This is about protecting others from the undue risk of harm you impose upon them by being unvaccinated. The lower the personal costs/risks of the vaccine ― and the higher the risk that the unvaccinated impose upon others ― the stronger the case is for mandating vaccines.”"
politics,"In a 2013 paper titled “A Defense of Compulsory Vaccination,” Jessica Flanigan, a University of Richmond professor known for libertarian writings on bioethics, cited the example of people firing guns into the air in order to celebrate Independence Day. Governments can and do prohibit such behavior even though it’s a form of expression, Flanigan explained, because the bullet could end up hitting and even killing somebody."
politics,"“People are not entitled to harm innocents or to impose deadly risks on others,” Flanigan wrote."
politics,"Georgetown University professor Jason Brennan made a similar argument in a 2018 journal article called “A Libertarian Case for Mandatory Vaccination.” That was two years before COVID-19, but, he told HuffPost last week, he thinks the case for mandates now remains strong."
politics,"And then there is Ilya Somin, whom nobody would mistake for a fan of government power."
politics,"A professor at George Mason University and an adjunct scholar at the libertarian Cato Institute, he has spent much of his professional life decrying what he sees as state encroachments on personal liberty, whether it’s local authorities taking property under eminent domain or the federal government penalizing people for not getting health insurance."
politics,"“The issue here is not just that it saves lives, but that it potentially saves a great many of them, and not just those of the vaccinated people themselves,” Somin said. “It also protects others in the community. That makes it different from primarily paternalistic restrictions on liberty, such as, say, requiring motorcycle riders to wear helmets.”"
politics,"But Somin said in an interview that vaccine mandates make sense under certain circumstances and that the present situation qualifies. He described taking the shot as a “small burden” for the sake of much larger benefits, like slowing transmission and reducing the opportunities for new, more dangerous variants to emerge."
politics,"Somin said said he would feel differently about imposing a requirement on the public at large, rather than making the vaccines a condition for engaging in certain activities, in part because it would be a “law enforcement nightmare.” Somin also noted that many of the mandates are coming from private-sector companies acting on their own."
politics,"American laws and courts have long given private companies all kinds of leeway to dictate terms of employment, as well as whom they serve as customers. Libertarians like Somin are especially reluctant to see that erode, because they believe owners, workers and consumers end up better off when corporations operate with fewer restrictions."
politics,"One group that would be happy to cut down on management discretion over employees are labor unions, and that’s a big reason so many unions representing teachers, health care workers and other sectors subject to the mandates have been fighting them. "
politics,Where The Debate Goes From Here
politics,"The unions are also representing workers who, in many cases, are genuinely fearful of the vaccines. This is especially true for the health care unions whose memberships include large numbers of Black Americans, whose vaccination numbers nationwide have lagged in part because of deep distrust of the medical establishment that has built up over the centuries."
politics,"Still, many of the unions fighting the requirements are focusing more on the specifics of verification and exceptions to the rules. That’s different from the categorical rejection of mandates you hear from Cruz, DeSantis and the other Republicans. And although the unions certainly represent a lot of members, those GOP officials have a lot of influence ― especially when it comes to the part of the population most hostile to getting vaccinated."
politics,"Of course, from a public health perspective, that’s all the more reason to impose the mandate: to boost vaccination among people who take the pandemic seriously and are part of communities that have suffered disproportionately from COVID-19. And that’s not to mention the biggest reason, which is that unvaccinated health care workers are a direct threat to the safety and well-being of patients."
politics,"A Justice Department official appointed by Donald Trump attempted to block results from the 2020 election by pushing a wild theory that votes may have been hacked by Chinese intelligence agents armed with digital thermometers, according to emails obtained by the House Oversight Committee."
politics,"Jeffrey Clark, who was the head of the DOJ’s civil division at the time, told senior department officials that he had information indicating the Chinese government could use digital thermometers to change results in Dominion machines that were tallying votes, sources told CNN."
politics,"“Hackers have evidence ... that a Dominion machine accessed the Internet through a smart thermostat with a net connection trail leading back to China,” Clark wrote in an email."
politics,"The push to hold up the election was part of Trump’s campaign to not leave the White House, even though Joe Biden had been elected president. Trump told then-acting Attorney General Jeffrey Rosen in December to “just say the election was corrupt, and leave the rest to me,” according to notes taken of his phone call, which were also obtained by the Oversight Committee."
politics,"The imagined connection between China and the U.S. presidential election is a key element of QAnon conspiracy theories. The vote audit in Arizona’s Maricopa County — led by Cyber Ninjas CEO and QAnon believer Doug Logan — has also examined ballots for evidence of “bamboo fibers,” which some have baselessly claimed could prove interference by the Chinese government."
politics,"Clark also wrote a draft letter, published by ABC News, in which he urged Georgia officials to call a special session of the state legislature to challenge the vote there. He falsely claimed in the letter that DOJ had identified “significant concerns that may have impacted of the outcome of the election in multiple States, including the State of Georgia.”"
politics,"Rosen refused to take any action to block results — including signing off on the Georgia letter — despite pressure from Trump and Clark, noting that there was no evidence of any election fraud. "
politics,"Clark insisted on pushing his claim of Chinese interference even after an intelligence briefing for the Justice Department stating that there was “no evidence that foreign interference had affected vote tallies,” CNN reported. "
politics,Trump was reportedly considering firing Rosen at the time and replacing him with Clark so he could remain in the White House.
politics,"Rosen had a two-hour meeting on Friday with the Office of the Inspector General of the Justice Department, and provided closed-door testimony to the Senate Judiciary Committee on Saturday about Clark’s attempts to “subvert” the presidential election, The New York Times reported."
politics,"He spoke about five different encounters with Clark, according to the Times. "
politics,"Rosen described exchanges with Clark in which he continued to press colleagues to make statements about the election “that they found to be untrue,” a person familiar with the interviews told the Times. He reportedly also revealed that he learned Clark had had unauthorized conversations with Trump about using the Justice Department to publicly “cast doubt” on Biden’s win."
politics,Sen. Richard Blumenthal (D-Conn) called Rosen’s accounts “dramatic evidence of how intent Trump was in overthrowing the election.”
politics,"Clark, who left the DOJ in January, could not be reached for comment. "
politics,"But he told Bloomberg in January that he had engaged in a “candid discussion of options and pros and cons with the president,” apparently concerning the election. He said he couldn’t reveal “specifics” because they were confidential."
politics,"“This moratorium is the right thing to do to keep people in their homes and out of congregate settings where COVID-19 spreads,” CDC Director Dr. Rochelle Walensky said in a statement."
politics,The Biden administration issued a new eviction moratorium on Tuesday after progressive lawmakers turned up the pressure as protections for millions of vulnerable renters lapsed over the weekend.
politics,"The national moratorium on evictions, which the Centers for Disease Control and Prevention first put in place in September 2020, expired on July 31 without further extension."
politics,The CDC’s new moratorium targets counties with elevated rates of COVID-19 infections and will last for 60 days.
politics,"“It is imperative that public health authorities act quickly to mitigate such an increase of evictions, which could increase the likelihood of new spikes in SARS-CoV-2 transmission,” Walensky continued. “Such mass evictions and the attendant public health consequences would be very difficult to reverse.”"
politics,"Until now, the White House has been adamant that it did not have the “legal authority” to extend a national ban on evictions — not even a more targeted one — citing a month-old Supreme Court ruling."
politics,"Roughly 3.6 million adults in the United States reported they were within two months of eviction as of June, including 2 million households with kids, according to recent census data. Those individuals and families were left to rely on individual state and city policies as of Sunday. Only a handful of states have their own eviction moratoriums in place."
politics,"“On this particular issue, the president has not only kicked the tires, but double, triple and quadruple checked,” White House adviser Gene Sperling told reporters just Monday."
politics,"Notably, the Supreme Court ruling from June did not ban the White House from extending the moratorium. But in his concurring opinion allowing for the moratorium to stay in place through July, Justice Brett Kavanaugh wrote that he believed any further extension would need congressional approval. "
politics,"President Joe Biden, acknowledging the coming announcement from the CDC after a speech on vaccination rates on Tuesday, still raised concerns about whether this new moratorium will pass legal muster."
politics,"“At a minimum, by the time it is litigated, it will probably give some additional time while we are getting that $45 billion out to people who are in fact behind on their rent and don’t have the money,” Biden said."
politics,"Congress has passed $46 billion in rental assistance over two COVID-19 relief bills in the last eight months. States and cities have been extremely slow in getting that money out, however. As of June, only $3 billion of those funds had been distributed, according to numbers from the Treasury Department."
politics,"As the end of the moratorium approached late last week, the White House called on Congress to extend the moratorium — a move that surprised Democratic leadership. House Democrats couldn’t muster enough votes even among their own ranks to extend the measure. Then, on Friday evening, the House attempted to extend the moratorium unanimously but Republican lawmakers blocked the effort. The bill never even made it to the Senate and most House members went back to their home districts for August recess. "
politics,"On Monday, the Biden administration called on states to reimpose eviction moratoriums for at least two more months as the highly contagious delta variant of the coronavirus spreads rapidly across the country. The administration also urged landlords to hold off on evictions for at least 30 days."
politics,"Meanwhile, a group of the House’s most progressive lawmakers, led by Rep. Cori Bush (D-Mo.), has been staging a protest against the end of the moratorium by sleeping on the Capitol steps. On Monday night, the group was joined by Rev. William Barber of the Poor People’s Campaign, who was in the area protesting for civil rights and higher wages."
politics,"“I applaud the CDC for imposing an eviction moratorium for the vast majority of the population,"" Schumer said in a statement. ""I particularly applaud Rep. Cori Bush who understands what it’s like to be evicted and who took her passion and turned it into amazingly effective action. And I am proud of my Democratic colleagues in the House and Senate for keeping a spotlight on this issue and giving a voice to the millions of Americans who, through no fault of their own, are at risk of being evicted from their home."""
politics,Bush claimed victory Tuesday evening.
politics,Senate Majority Leader Chuck Schumer praised Bush and fellow progressive lawmakers like New York Reps. Alexandria Ocasio-Cortez and Mondaire Jones for their activism Tuesday night. 
politics,"“This is why this happened. Being unapologetic. Being unafraid to stand up,” the Democrat told reporters."
politics,"On Monday, House Speaker Nancy Pelosi reiterated it was up to the Biden administration to extend the moratorium, signaling that the political dynamics in Congress were too difficult to get anything done. Any eviction moratorium passed through Congress would have needed at least 10 Republican supporters."
politics,Members of House Democratic leadership have always maintained that the White House and CDC had the power to act on their own on the eviction moratorium. 
politics,"It’s when Pasifika people were targeted for deportation in the mid-1970s during aggressive home raids by authorities to find, convict and deport visa overstayers. The raids often took place very early in the morning or late at night."
politics,"At the time of the raids, many Pacific people had come to New Zealand on temporary visas to help fill a need for workers in the nation’s factories and fields. But the government appeared to turn on the community by deciding those workers were no longer needed."
politics,"By being covered in the mat, Ardern was taking part in a traditional Samoan ritual known as an ifoga, in which the subject seeks forgiveness by exposing themselves to a kind of public humiliation."
politics,Ardern told a tearful crowd of several hundred that the government was offering a formal and unreserved apology.
politics,It was part of an emotional ceremony at the Auckland Town Hall during which Ardern formally apologized for a racially charged part of the nation’s history known as the Dawn Raids.
politics,"WELLINGTON, New Zealand (AP) — New Zealand’s Prime Minister Jacinda Ardern sat motionless Sunday as members of the Pacific Island community pulled a large white mat over her head, completely covering her. Moments later they removed it and embraced her."
politics,"“The government expresses its sorrow, remorse, and regret that the Dawn Raids and random police checks occurred and that these actions were ever considered appropriate,” Ardern said."
politics,"People who didn’t look like white New Zealanders were told they should carry identification to prove they weren’t overstayers, and were often randomly stopped in the street, or even at schools or churches. Even though many overstayers at the time were British or American, only Pacific people were targeted for deportation."
politics,"Ardern said that while the raids took place almost 50 years ago, their legacy continued."
politics,"“As part of this, the community will have the opportunity to come forward and share their experiences,” Ardern said."
politics,"Ardern said that as a gesture of goodwill, the government would fund new education and training scholarships for Pacific communities and would help compile an official account of the raids from written records and oral history."
politics,"“It remains vividly etched in the memory of those who were directly impacted. It lives on in the disruption of trust and faith in authorities. And it lives on in the unresolved grievances of Pacific communities that these events happened and that to this day they have gone unaddressed,” she said."
politics,Tongan Princess Mele Siu’ilikutapu Kalaniuvalu Fotofili said the impact of the Dawn Raids had haunted her community for generations.
politics,"The princess said that while some members of her Tongan community might have been on the wrong side of the law at the time, it didn’t warrant the extreme measures taken against them."
politics,"“We are grateful to your government for making the right decision to apologize,” she said to Ardern. “To right the extreme, inhumane, racist and unjust treatment, specifically against my community, in the Dawn Raids era.”"
politics,"But the princess said the government could do a better job of responding to current immigration needs, a comment which drew sustained applause. She said petitions had been submitted to find pathways and residency for overstayers and visa-holders."
politics,"“This is a new dawn for my community and the Pacific community at large,” she said."
politics,"Sunday’s ceremony had originally been scheduled for June but was delayed due to coronavirus measures. The apology didn’t come with any broader financial compensation or legal changes, but many Pacific people say it represented an important first step."
